feature_id,fold,importance
ILMN_1806023__signal,1,0.10389336489814094
ILMN_1810214__signal,1,0.012513351332426238
ILMN_1773154__signal,1,0.03078927164328275
ILMN_2197365__signal,1,0.00967993325199296
ILMN_1781285__signal,1,0.04146332049245636
ILMN_1669523__signal,1,0.11195690758233023
ILMN_1720829__signal,1,0.016748811109535452
ILMN_2188333__signal,1,0.039502966440032435
ILMN_1751607__signal,1,0.16675159641993723
ILMN_1735014__signal,1,0.028489189347225084
ILMN_1775708__signal,1,0.0021875401422038745
ILMN_1753111__signal,1,0.07039760449327032
ILMN_1762899__signal,1,0.10681072539437274
ILMN_1702691__signal,1,0.008482483585163198
ILMN_1703123__signal,1,0.01717782920829515
ILMN_1711069__signal,1,0.01302071226559607
ILMN_2086077__signal,1,0.02046709328926295
ILMN_1782305__signal,1,0.036449918804235315
ILMN_1658494__signal,1,0.04705319893141958
ILMN_2207291__signal,1,0.027104866122092074
ILMN_1659936__signal,1,0.011691320774918815
ILMN_1773154__pvalue,1,0.0631247717541075
ILMN_2197365__pvalue,1,0.05256921140869152
ILMN_1720829__pvalue,1,0.02838993748401049
ILMN_1696935__pvalue,1,0.01916043007516741
ILMN_1748124__pvalue,1,0.02899847453952815
ILMN_1750278__pvalue,1,0.003905583861345287
ILMN_1751607__pvalue,1,0.12961311020419797
ILMN_1679045__pvalue,1,0.019972816295460463
ILMN_3236653__pvalue,1,0.022669961912093552
ILMN_1746525__pvalue,1,0.0013359865905592705
ILMN_1696911__pvalue,1,0.00949254027116337
ILMN_2134538__pvalue,1,0.011041164430370225
ILMN_1661599__pvalue,1,0.015045013545530445
ILMN_3236713__pvalue,1,0.002618197995079244
ILMN_3246273__pvalue,1,0.010631171116413913
ILMN_1720088__pvalue,1,0.01025225123350061
ILMN_2073235__pvalue,1,0.00655455990873404
ILMN_1672496__pvalue,1,0.002231212876566612
ILMN_1766221__pvalue,1,0.023389943840228987
ILMN_2038775__pvalue,1,0.01386693048314546
ILMN_1775708__pvalue,1,0.07457068046669973
ILMN_1753111__pvalue,1,0.09680196842054294
ILMN_3244646__pvalue,1,0.008257116182048961
ILMN_1762899__pvalue,1,0.13404204031963377
ILMN_3227315__pvalue,1,0.004064020226043332
ILMN_3275771__pvalue,1,0.013221571028727293
ILMN_2150654__pvalue,1,0.10210883672082141
ILMN_2234016__pvalue,1,0.0004788569938984459
ILMN_1681871__pvalue,1,0.012183668648287007
ILMN_1718977__pvalue,1,0.05268636554251569
ILMN_1651278__pvalue,1,0.015206740493642497
ILMN_1703123__pvalue,1,0.07441787277174788
ILMN_1746968__pvalue,1,0.0014320588229703311
ILMN_2086077__pvalue,1,0.052552056682664564
ILMN_1782305__pvalue,1,0.057100612022910016
ILMN_2096747__pvalue,1,0.0705558497713184
ILMN_3248703__pvalue,1,0.0273368958056164
ILMN_1663751__pvalue,1,0.01869844635694192
ILMN_1769705__pvalue,1,0.007886493523032048
ILMN_1689560__pvalue,1,0.03380935959450044
ILMN_1658494__pvalue,1,0.0426962277578331
ILMN_1751615__pvalue,1,0.0011104218453132607
ILMN_1656011__pvalue,1,0.04499401952816192
ILMN_1686135__pvalue,1,0.02211046926879955
ILMN_3182451__pvalue,1,0.015715330489485587
ILMN_1775336__pvalue,1,0.033051174034757665
ILMN_1770085__pvalue,1,0.0313017781440649
ILMN_1719986__pvalue,1,0.032350502531738747
ILMN_2207291__pvalue,1,0.06642639399252301
ILMN_3245103__pvalue,1,0.032695941992662785
ILMN_1795930__pvalue,1,0.044799289414254734
ILMN_1659936__pvalue,1,0.05189823010427816
ILMN_1789086__pvalue,1,0.044111308350639596
ILMN_1740426__pvalue,1,0.09936848519907761
ILMN_1652790__pvalue,1,0.023413537829379
ILMN_1728106__pvalue,1,0.07630067554632829
ILMN_3235647__pvalue,1,0.04889236559037145
ILMN_1705985__pvalue,1,0.04391606688697435
ILMN_1657769__pvalue,1,0.035730917172741836
ILMN_1717639__pvalue,1,0.05746018366104672
ILMN_1741054__pvalue,1,0.0059592605192798805
ILMN_1755075__pvalue,1,0.010300774103800661
ILMN_1788498__pvalue,1,0.025673278116781002
ILMN_1676718__pvalue,1,0.025560275928188318
ILMN_1689525__pvalue,1,0.018070786880296896
ILMN_2382687__pvalue,1,0.06639036925613168
ILMN_2339955__pvalue,1,0.06402565403926483
ILMN_1742981__pvalue,1,0.045164337713942786
ILMN_1815205__pvalue,1,0.1127647107469463
ILMN_1760575__pvalue,1,0.002356815858261659
ILMN_2355665__pvalue,1,0.018799846287524288
ILMN_2347298__pvalue,1,0.08975718352355327
ILMN_1663092__pvalue,1,0.05958556572227632
ILMN_1802205__pvalue,1,0.00397468164589556
ILMN_1684553__pvalue,1,0.03353218143649489
ILMN_1666599__pvalue,1,0.06480767609178402
ILMN_1763265__pvalue,1,0.019574670868504326
ILMN_2105573__pvalue,1,0.08959522797845822
ILMN_2187830__pvalue,1,0.00043755204677508144
ILMN_1806023__signal,2,0.11060898884360683
ILMN_1810214__signal,2,0.02481593600051206
ILMN_1773154__signal,2,0.026930760547897385
ILMN_1784300__signal,2,0.004023761731493933
ILMN_2197365__signal,2,0.014606537680260035
ILMN_1781285__signal,2,0.027432043902971666
ILMN_1669523__signal,2,0.10766757228268257
ILMN_1720829__signal,2,0.023457015562132116
ILMN_1751607__signal,2,0.14688938358944606
ILMN_1735014__signal,2,0.018373196558078116
ILMN_1775708__signal,2,0.00021679298742882517
ILMN_1753111__signal,2,0.06431373807700769
ILMN_1762899__signal,2,0.09175421845790738
ILMN_1702691__signal,2,0.020377796956943573
ILMN_1718977__signal,2,0.004221811291729929
ILMN_1703123__signal,2,0.005907364860284655
ILMN_1782305__signal,2,0.030514071056825336
ILMN_1658494__signal,2,0.0456059436345627
ILMN_2207291__signal,2,0.04204369734263336
ILMN_1659936__signal,2,0.005820982927713402
ILMN_1773154__pvalue,2,0.06290304392697792
ILMN_2197365__pvalue,2,0.05338676289587895
ILMN_1720829__pvalue,2,0.02886364290365306
ILMN_3272378__pvalue,2,0.04252951073720417
ILMN_1748124__pvalue,2,0.03109152696581418
ILMN_1750278__pvalue,2,0.0010038207622019807
ILMN_1751607__pvalue,2,0.1065764149515244
ILMN_3236653__pvalue,2,0.03054790174642436
ILMN_1746525__pvalue,2,0.003844729290557443
ILMN_2094776__pvalue,2,0.00047420643256353183
ILMN_1696911__pvalue,2,0.01585099526976054
ILMN_2134538__pvalue,2,0.005147019275481213
ILMN_3246273__pvalue,2,0.02927869126436197
ILMN_1720088__pvalue,2,0.013208587932987055
ILMN_2073235__pvalue,2,0.019016801753798773
ILMN_1672496__pvalue,2,0.012747058366554674
ILMN_1766221__pvalue,2,0.01740642207170261
ILMN_1746408__pvalue,2,0.02735731845296707
ILMN_2038775__pvalue,2,0.004183418010036695
ILMN_1775708__pvalue,2,0.07255347487992268
ILMN_1753111__pvalue,2,0.09190003843920365
ILMN_1738075__pvalue,2,0.01781707046364305
ILMN_3244646__pvalue,2,0.013756931794844185
ILMN_1762899__pvalue,2,0.11879964061809489
ILMN_3227315__pvalue,2,0.007711353451868379
ILMN_3275771__pvalue,2,0.02224054474277008
ILMN_2150654__pvalue,2,0.10245187395962044
ILMN_2234016__pvalue,2,0.011171604721217232
ILMN_1718977__pvalue,2,0.06660106525293856
ILMN_1651278__pvalue,2,0.020788648355452584
ILMN_1715179__pvalue,2,0.004463962238900577
ILMN_1703123__pvalue,2,0.07010240386744714
ILMN_1746968__pvalue,2,0.0019176189329049352
ILMN_2086077__pvalue,2,0.0458049829660053
ILMN_1782305__pvalue,2,0.05824122981202507
ILMN_2096747__pvalue,2,0.019179835723945708
ILMN_1684647__pvalue,2,0.021144472033487145
ILMN_2173835__pvalue,2,0.0023410801425836803
ILMN_1654583__pvalue,2,0.0380411173719176
ILMN_3248703__pvalue,2,0.02601963779312289
ILMN_1663751__pvalue,2,0.015292508740096106
ILMN_1714599__pvalue,2,0.010418716879921559
ILMN_1769705__pvalue,2,0.015065793859772905
ILMN_1658494__pvalue,2,0.055972494742009236
ILMN_1751615__pvalue,2,0.00993556945148398
ILMN_1686135__pvalue,2,0.04188541062088929
ILMN_3182451__pvalue,2,0.045709416732393364
ILMN_1775336__pvalue,2,0.03936730404666409
ILMN_1795464__pvalue,2,0.018969473781826486
ILMN_1719986__pvalue,2,0.03466081659050157
ILMN_2207291__pvalue,2,0.07180767928189888
ILMN_3245103__pvalue,2,0.03550442285780123
ILMN_1795930__pvalue,2,0.06395675520261249
ILMN_1659936__pvalue,2,0.0673089827111307
ILMN_1802459__pvalue,2,0.004465824529289072
ILMN_1765725__pvalue,2,0.04235259611158751
ILMN_1728106__pvalue,2,0.08091392276609188
ILMN_1747303__pvalue,2,0.007737756631372628
ILMN_3235647__pvalue,2,0.04104052843046574
ILMN_1798448__pvalue,2,0.031054007407573955
ILMN_1705985__pvalue,2,0.054844316239470364
ILMN_1901419__pvalue,2,0.027701485913685053
ILMN_1744508__pvalue,2,0.04790079567258693
ILMN_1657769__pvalue,2,0.02425361113746416
ILMN_1717639__pvalue,2,0.03896610331579049
ILMN_1755075__pvalue,2,0.018784284845940802
ILMN_1788498__pvalue,2,0.019441669094040267
ILMN_1689525__pvalue,2,0.02411014892669163
ILMN_1667043__pvalue,2,0.022655945762126345
ILMN_2382687__pvalue,2,0.06471021215178822
ILMN_2339955__pvalue,2,0.07827379699802973
ILMN_1815205__pvalue,2,0.06484894694503303
ILMN_1760575__pvalue,2,0.002473014265541477
ILMN_2355665__pvalue,2,0.026651206523385856
ILMN_2347298__pvalue,2,0.10515378684269022
ILMN_1663092__pvalue,2,0.056422687085949795
ILMN_1802205__pvalue,2,0.03135316191200639
ILMN_1684553__pvalue,2,0.022805027207119626
ILMN_2105573__pvalue,2,0.10225135761677545
ILMN_2187830__pvalue,2,0.03072694266436243
ILMN_1806023__signal,3,0.09969322086929897
ILMN_1810214__signal,3,0.04371437173770839
ILMN_1773154__signal,3,0.05566597205924307
